archivo,clase,dur_s,n_seg,score_full,suena_full,best_seg_score,seg_ini_s,seg_fin_s,suena_seg,mejora,estado,recorte
VZ_07_FEL.ogg,Feliz,48.3,9,0.504,Feliz,0.559,38.3,48.3,Feliz,0.055,OK,outputs/mejores_segmentos/Feliz/VZ_07_FEL_top38-48s.wav
MT_01_FEL.ogg,Feliz,30.6,6,0.348,Feliz,0.403,5.0,15.0,Feliz,0.054,OK,outputs/mejores_segmentos/Feliz/MT_01_FEL_top5-15s.wav
ED_04_FEL.ogg,Feliz,34.3,6,0.275,Feliz,0.287,20.0,30.0,Feliz,0.012,OK,outputs/mejores_segmentos/Feliz/ED_04_FEL_top20-30s.wav
ED_02_FEL.ogg,Feliz,38.8,7,0.657,Feliz,0.657,0.0,10.0,Feliz,0.0,OK,outputs/mejores_segmentos/Feliz/ED_02_FEL_top0-10s.wav
SG_02_FEL.ogg,Feliz,31.1,6,0.201,Tranquilidad,0.201,0.0,10.0,Tranquilidad,0.0,SIN_RESCATE,outputs/mejores_segmentos/Feliz/SG_02_FEL_top0-10s.wav
SG_04_TRA.ogg,Feliz,24.8,4,0.649,Feliz,0.649,0.0,10.0,Feliz,0.0,OK,outputs/mejores_segmentos/Feliz/SG_04_TRA_top0-10s.wav
VZ_04_FEL.mp4,Feliz,42.5,8,0.442,Feliz,0.442,0.0,10.0,Feliz,0.0,OK,outputs/mejores_segmentos/Feliz/VZ_04_FEL_top0-10s.wav
VZ_06_FEL.ogg,Feliz,30.5,6,0.817,Feliz,0.817,0.0,10.0,Feliz,0.0,OK,outputs/mejores_segmentos/Feliz/VZ_06_FEL_top0-10s.wav
VZ_06_TRA.ogg,Feliz,25.9,5,0.553,Feliz,0.553,0.0,10.0,Feliz,0.0,OK,outputs/mejores_segmentos/Feliz/VZ_06_TRA_top0-10s.wav
VZ_08_FEL.ogg,Feliz,26.6,5,0.32,Feliz,0.32,0.0,10.0,Feliz,0.0,OK,outputs/mejores_segmentos/Feliz/VZ_08_FEL_top0-10s.wav
SG_08_TRA.ogg,Tranquilidad,31.1,6,0.278,Tranquilidad,0.61,15.0,25.0,Tranquilidad,0.331,OK,outputs/mejores_segmentos/Tranquilidad/SG_08_TRA_top15-25s.wav
MT_08_TRI.ogg,Tranquilidad,30.0,5,0.522,Tranquilidad,0.804,15.0,25.0,Tranquilidad,0.282,OK,outputs/mejores_segmentos/Tranquilidad/MT_08_TRI_top15-25s.wav
MT_06_ENO.ogg,Tranquilidad,30.7,6,0.522,Tranquilidad,0.802,20.7,30.7,Tranquilidad,0.28,OK,outputs/mejores_segmentos/Tranquilidad/MT_06_ENO_top21-31s.wav
VA_06_TRI.ogg,Tranquilidad,32.3,6,0.464,Tranquilidad,0.724,22.3,32.3,Tranquilidad,0.26,OK,outputs/mejores_segmentos/Tranquilidad/VA_06_TRI_top22-32s.wav
VZ_01_ENO.mp4,Tranquilidad,49.9,9,0.498,Tranquilidad,0.758,20.0,30.0,Tranquilidad,0.26,OK,outputs/mejores_segmentos/Tranquilidad/VZ_01_ENO_top20-30s.wav
MT_06_TRA.ogg,Tranquilidad,32.8,6,0.567,Tranquilidad,0.799,22.8,32.8,Tranquilidad,0.232,OK,outputs/mejores_segmentos/Tranquilidad/MT_06_TRA_top23-33s.wav
MT_02_TRI.ogg,Tranquilidad,35.8,7,0.634,Tranquilidad,0.835,25.8,35.8,Tranquilidad,0.201,OK,outputs/mejores_segmentos/Tranquilidad/MT_02_TRI_top26-36s.wav
VA_14_TRI.ogg,Tranquilidad,43.2,8,0.638,Tranquilidad,0.822,30.0,40.0,Tranquilidad,0.184,OK,outputs/mejores_segmentos/Tranquilidad/VA_14_TRI_top30-40s.wav
VA_02_TRI.ogg,Tranquilidad,38.7,7,0.613,Tranquilidad,0.796,25.0,35.0,Tranquilidad,0.183,OK,outputs/mejores_segmentos/Tranquilidad/VA_02_TRI_top25-35s.wav
MT_11.mp3_TRI.mpeg,Tranquilidad,33.0,6,0.677,Tranquilidad,0.859,5.0,15.0,Tranquilidad,0.182,OK,outputs/mejores_segmentos/Tranquilidad/MT_11.mp3_TRI_top5-15s.wav
VA_03_ENO.ogg,Tranquilidad,47.1,9,0.686,Tranquilidad,0.863,30.0,40.0,Tranquilidad,0.177,OK,outputs/mejores_segmentos/Tranquilidad/VA_03_ENO_top30-40s.wav
SG_07_TRA.ogg,Tranquilidad,29.3,5,0.275,Tranquilidad,0.448,15.0,25.0,Tranquilidad,0.173,OK,outputs/mejores_segmentos/Tranquilidad/SG_07_TRA_top15-25s.wav
VZ_01_TRA.mp4,Tranquilidad,43.7,8,0.716,Tranquilidad,0.888,25.0,35.0,Tranquilidad,0.172,OK,outputs/mejores_segmentos/Tranquilidad/VZ_01_TRA_top25-35s.wav
SG_06_TRA.ogg,Tranquilidad,30.3,6,0.525,Tranquilidad,0.694,15.0,25.0,Tranquilidad,0.169,OK,outputs/mejores_segmentos/Tranquilidad/SG_06_TRA_top15-25s.wav
VA_06_TRA.ogg,Tranquilidad,26.4,5,0.502,Tranquilidad,0.669,15.0,25.0,Tranquilidad,0.167,OK,outputs/mejores_segmentos/Tranquilidad/VA_06_TRA_top15-25s.wav
VA_09_TRA.ogg,Tranquilidad,31.1,6,0.699,Tranquilidad,0.865,21.1,31.1,Tranquilidad,0.166,OK,outputs/mejores_segmentos/Tranquilidad/VA_09_TRA_top21-31s.wav
VZ_03_TRI.ogg,Tranquilidad,36.3,7,0.574,Tranquilidad,0.738,26.3,36.3,Tranquilidad,0.164,OK,outputs/mejores_segmentos/Tranquilidad/VZ_03_TRI_top26-36s.wav
VA_13_FE.mpeg,Tranquilidad,36.1,7,0.602,Tranquilidad,0.765,20.0,30.0,Tranquilidad,0.163,OK,outputs/mejores_segmentos/Tranquilidad/VA_13_FE_top20-30s.wav
SG_05_TRI.ogg,Tranquilidad,27.4,5,0.626,Tranquilidad,0.783,17.4,27.4,Tranquilidad,0.157,OK,outputs/mejores_segmentos/Tranquilidad/SG_05_TRI_top17-27s.wav
VA_08_TRA.ogg,Tranquilidad,39.1,7,0.739,Tranquilidad,0.889,25.0,35.0,Tranquilidad,0.15,OK,outputs/mejores_segmentos/Tranquilidad/VA_08_TRA_top25-35s.wav
VA_02_ENO.ogg,Tranquilidad,35.5,7,0.402,Tranquilidad,0.547,15.0,25.0,Tranquilidad,0.145,OK,outputs/mejores_segmentos/Tranquilidad/VA_02_ENO_top15-25s.wav
MT_08_TRA.ogg,Tranquilidad,36.2,7,0.523,Tranquilidad,0.665,26.2,36.2,Tranquilidad,0.143,OK,outputs/mejores_segmentos/Tranquilidad/MT_08_TRA_top26-36s.wav
VA_10_TRA.ogg,Tranquilidad,36.3,7,0.584,Tranquilidad,0.721,26.3,36.3,Tranquilidad,0.137,OK,outputs/mejores_segmentos/Tranquilidad/VA_10_TRA_top26-36s.wav
ED_02_TRA_S.ogg,Tranquilidad,35.5,7,0.693,Tranquilidad,0.829,25.5,35.5,Tranquilidad,0.136,OK,outputs/mejores_segmentos/Tranquilidad/ED_02_TRA_S_top25-35s.wav
VZ_01_FEL.ogg,Tranquilidad,26.6,5,0.648,Tranquilidad,0.78,16.6,26.6,Tranquilidad,0.132,OK,outputs/mejores_segmentos/Tranquilidad/VZ_01_FEL_top17-27s.wav
MT_04_ENO.mp4,Tranquilidad,28.1,5,0.635,Tranquilidad,0.764,18.1,28.1,Tranquilidad,0.128,OK,outputs/mejores_segmentos/Tranquilidad/MT_04_ENO_top18-28s.wav
VA_04_TRA.ogg,Tranquilidad,37.7,7,0.788,Tranquilidad,0.912,27.7,37.7,Tranquilidad,0.124,OK,outputs/mejores_segmentos/Tranquilidad/VA_04_TRA_top28-38s.wav
VA_13_TRI.mpeg,Tranquilidad,45.5,9,0.781,Tranquilidad,0.905,10.0,20.0,Tranquilidad,0.124,OK,outputs/mejores_segmentos/Tranquilidad/VA_13_TRI_top10-20s.wav
MT_05_TRA.ogg,Tranquilidad,33.8,6,0.716,Tranquilidad,0.833,20.0,30.0,Tranquilidad,0.117,OK,outputs/mejores_segmentos/Tranquilidad/MT_05_TRA_top20-30s.wav
VA_10_ENO.ogg,Tranquilidad,32.4,6,0.438,Tranquilidad,0.546,22.4,32.4,Tranquilidad,0.108,OK,outputs/mejores_segmentos/Tranquilidad/VA_10_ENO_top22-32s.wav
VZ_05_TRI.ogg,Tranquilidad,36.2,7,0.753,Tranquilidad,0.861,25.0,35.0,Tranquilidad,0.108,OK,outputs/mejores_segmentos/Tranquilidad/VZ_05_TRI_top25-35s.wav
VZ_05_TRA.ogg,Tranquilidad,37.7,7,0.726,Tranquilidad,0.833,20.0,30.0,Tranquilidad,0.107,OK,outputs/mejores_segmentos/Tranquilidad/VZ_05_TRA_top20-30s.wav
SG_02_ENO.ogg,Tranquilidad,28.6,5,0.799,Tranquilidad,0.905,15.0,25.0,Tranquilidad,0.106,OK,outputs/mejores_segmentos/Tranquilidad/SG_02_ENO_top15-25s.wav
VA_04_ENO.ogg,Tranquilidad,39.8,7,0.549,Tranquilidad,0.652,29.8,39.8,Tranquilidad,0.103,OK,outputs/mejores_segmentos/Tranquilidad/VA_04_ENO_top30-40s.wav
VA_08_ENO.ogg,Tranquilidad,31.0,6,0.52,Tranquilidad,0.622,21.0,31.0,Tranquilidad,0.102,OK,outputs/mejores_segmentos/Tranquilidad/VA_08_ENO_top21-31s.wav
VA_06_ENO.ogg,Tranquilidad,27.2,5,0.444,Tranquilidad,0.541,15.0,25.0,Tranquilidad,0.097,OK,outputs/mejores_segmentos/Tranquilidad/VA_06_ENO_top15-25s.wav
VZ_09_TRI.ogg,Tranquilidad,36.1,7,0.797,Tranquilidad,0.894,26.1,36.1,Tranquilidad,0.097,OK,outputs/mejores_segmentos/Tranquilidad/VZ_09_TRI_top26-36s.wav
VA_07_ENO.ogg,Tranquilidad,26.4,5,0.453,Tranquilidad,0.549,16.4,26.4,Tranquilidad,0.096,OK,outputs/mejores_segmentos/Tranquilidad/VA_07_ENO_top16-26s.wav
VA_07_TRA.ogg,Tranquilidad,35.1,7,0.731,Tranquilidad,0.824,25.1,35.1,Tranquilidad,0.093,OK,outputs/mejores_segmentos/Tranquilidad/VA_07_TRA_top25-35s.wav
VZ_08_TRA.ogg,Tranquilidad,30.8,6,0.499,Tranquilidad,0.587,20.8,30.8,Tranquilidad,0.088,OK,outputs/mejores_segmentos/Tranquilidad/VZ_08_TRA_top21-31s.wav
VZ_03_TRA.ogg,Tranquilidad,37.1,7,0.621,Tranquilidad,0.707,20.0,30.0,Tranquilidad,0.086,OK,outputs/mejores_segmentos/Tranquilidad/VZ_03_TRA_top20-30s.wav
VZ_03_ENO.ogg,Tranquilidad,36.7,7,0.632,Tranquilidad,0.71,15.0,25.0,Tranquilidad,0.078,OK,outputs/mejores_segmentos/Tranquilidad/VZ_03_ENO_top15-25s.wav
SG_03_TRA.ogg,Tranquilidad,28.5,5,0.71,Tranquilidad,0.771,5.0,15.0,Tranquilidad,0.062,OK,outputs/mejores_segmentos/Tranquilidad/SG_03_TRA_top5-15s.wav
VZ_10_TRI.ogg,Tranquilidad,31.9,6,0.697,Tranquilidad,0.758,15.0,25.0,Tranquilidad,0.061,OK,outputs/mejores_segmentos/Tranquilidad/VZ_10_TRI_top15-25s.wav
ED_02_TRI_S.ogg,Tranquilidad,37.7,7,0.747,Tranquilidad,0.807,27.7,37.7,Tranquilidad,0.06,OK,outputs/mejores_segmentos/Tranquilidad/ED_02_TRI_S_top28-38s.wav
VZ_07_TRA.ogg,Tranquilidad,25.4,5,0.81,Tranquilidad,0.865,10.0,20.0,Tranquilidad,0.055,OK,outputs/mejores_segmentos/Tranquilidad/VZ_07_TRA_top10-20s.wav
SG_01_TRA.ogg,Tranquilidad,33.6,6,0.803,Tranquilidad,0.856,5.0,15.0,Tranquilidad,0.053,OK,outputs/mejores_segmentos/Tranquilidad/SG_01_TRA_top5-15s.wav
VA_08_TRI.ogg,Tranquilidad,37.9,7,0.792,Tranquilidad,0.839,10.0,20.0,Tranquilidad,0.047,OK,outputs/mejores_segmentos/Tranquilidad/VA_08_TRI_top10-20s.wav
VA_11_ENO.ogg,Tranquilidad,38.0,7,0.725,Tranquilidad,0.768,28.0,38.0,Tranquilidad,0.043,OK,outputs/mejores_segmentos/Tranquilidad/VA_11_ENO_top28-38s.wav
MT_08_ENO.ogg,Tranquilidad,31.9,6,0.861,Tranquilidad,0.902,21.9,31.9,Tranquilidad,0.04,OK,outputs/mejores_segmentos/Tranquilidad/MT_08_ENO_top22-32s.wav
VZ_09_ENO.ogg,Tranquilidad,31.4,6,0.77,Tranquilidad,0.808,21.4,31.4,Tranquilidad,0.038,OK,outputs/mejores_segmentos/Tranquilidad/VZ_09_ENO_top21-31s.wav
SG_01_TRI.ogg,Tranquilidad,34.5,6,0.666,Tranquilidad,0.697,15.0,25.0,Tranquilidad,0.031,OK,outputs/mejores_segmentos/Tranquilidad/SG_01_TRI_top15-25s.wav
MT_01_ENO.ogg,Tranquilidad,31.5,6,0.634,Tranquilidad,0.66,21.5,31.5,Tranquilidad,0.026,OK,outputs/mejores_segmentos/Tranquilidad/MT_01_ENO_top22-32s.wav
VA_11_TRA.ogg,Tranquilidad,35.0,6,0.799,Tranquilidad,0.818,25.0,35.0,Tranquilidad,0.019,OK,outputs/mejores_segmentos/Tranquilidad/VA_11_TRA_top25-35s.wav
VZ_06_TRI.ogg,Tranquilidad,29.2,5,0.829,Tranquilidad,0.848,19.2,29.2,Tranquilidad,0.018,OK,outputs/mejores_segmentos/Tranquilidad/VZ_06_TRI_top19-29s.wav
MT_09_ENO.ogg,Tranquilidad,32.5,6,0.801,Tranquilidad,0.817,22.5,32.5,Tranquilidad,0.016,OK,outputs/mejores_segmentos/Tranquilidad/MT_09_ENO_top23-33s.wav
MT_06_TRI.ogg,Tranquilidad,34.9,6,0.87,Tranquilidad,0.885,24.9,34.9,Tranquilidad,0.015,OK,outputs/mejores_segmentos/Tranquilidad/MT_06_TRI_top25-35s.wav
VA_15_FE.mp4,Tranquilidad,41.5,8,0.775,Tranquilidad,0.788,15.0,25.0,Tranquilidad,0.013,OK,outputs/mejores_segmentos/Tranquilidad/VA_15_FE_top15-25s.wav
ED_05_TRA.ogg,Tranquilidad,30.7,6,0.499,Tranquilidad,0.504,10.0,20.0,Tranquilidad,0.005,OK,outputs/mejores_segmentos/Tranquilidad/ED_05_TRA_top10-20s.wav
VZ_06_ENO.ogg,Tranquilidad,25.0,4,0.399,Tranquilidad,0.403,10.0,20.0,Tranquilidad,0.004,OK,outputs/mejores_segmentos/Tranquilidad/VZ_06_ENO_top10-20s.wav
VA_03_TRA.ogg,Tranquilidad,41.2,8,0.889,Tranquilidad,0.892,5.0,15.0,Tranquilidad,0.003,OK,outputs/mejores_segmentos/Tranquilidad/VA_03_TRA_top5-15s.wav
ED_01_TRA.ogg,Tranquilidad,33.3,6,0.769,Tranquilidad,0.769,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/ED_01_TRA_top0-10s.wav
ED_03_TRA.ogg,Tranquilidad,42.9,8,0.805,Tranquilidad,0.805,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/ED_03_TRA_top0-10s.wav
ED_04_TRA_S.ogg,Tranquilidad,46.8,9,0.431,Tranquilidad,0.431,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/ED_04_TRA_S_top0-10s.wav
ED_04_TRI.ogg,Tranquilidad,53.4,10,0.853,Tranquilidad,0.853,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/ED_04_TRI_top0-10s.wav
ED_05_TRI.ogg,Tranquilidad,37.2,7,0.702,Tranquilidad,0.702,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/ED_05_TRI_top0-10s.wav
MT_02_FEL.ogg,Tranquilidad,38.5,7,0.644,Tranquilidad,0.644,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/MT_02_FEL_top0-10s.wav
MT_02_TRA.ogg,Tranquilidad,30.4,6,0.76,Tranquilidad,0.76,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/MT_02_TRA_top0-10s.wav
MT_03_TRA.ogg,Tranquilidad,35.7,7,0.712,Tranquilidad,0.712,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/MT_03_TRA_top0-10s.wav
MT_04_TRA.mp4,Tranquilidad,30.6,6,0.742,Tranquilidad,0.742,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/MT_04_TRA_top0-10s.wav
MT_10_TRA.ogg,Tranquilidad,32.7,6,0.688,Tranquilidad,0.688,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/MT_10_TRA_top0-10s.wav
MT_11.mp3_ENO.mpeg,Tranquilidad,30.2,6,0.51,Tranquilidad,0.51,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/MT_11.mp3_ENO_top0-10s.wav
MT_11.mp3_TRA.mpeg,Tranquilidad,28.8,5,0.872,Tranquilidad,0.872,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/MT_11.mp3_TRA_top0-10s.wav
SG_04_ENO.ogg,Tranquilidad,28.0,5,0.706,Tranquilidad,0.706,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/SG_04_ENO_top0-10s.wav
SG_05_ENO.ogg,Tranquilidad,35.9,7,0.514,Tranquilidad,0.514,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/SG_05_ENO_top0-10s.wav
SG_05_TRA.ogg,Tranquilidad,33.8,6,0.723,Tranquilidad,0.723,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/SG_05_TRA_top0-10s.wav
VA_01_TRA.ogg,Tranquilidad,27.8,5,0.433,Tranquilidad,0.433,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VA_01_TRA_top0-10s.wav
VA_01_TRI.ogg,Tranquilidad,29.2,5,0.568,Tranquilidad,0.568,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VA_01_TRI_top0-10s.wav
VA_02_TRA.ogg,Tranquilidad,27.5,5,0.481,Tranquilidad,0.481,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VA_02_TRA_top0-10s.wav
VA_07_TRI.ogg,Tranquilidad,31.9,6,0.755,Tranquilidad,0.755,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VA_07_TRI_top0-10s.wav
VA_09_TRI.ogg,Tranquilidad,33.5,6,0.709,Tranquilidad,0.709,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VA_09_TRI_top0-10s.wav
VA_12_ENO.ogg,Tranquilidad,19.1,3,0.796,Tranquilidad,0.796,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VA_12_ENO_top0-10s.wav
VA_12_FE.ogg,Tranquilidad,16.6,3,0.821,Tranquilidad,0.821,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VA_12_FE_top0-10s.wav
VZ_04_ENO.ogg,Tranquilidad,37.9,7,0.602,Tranquilidad,0.602,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VZ_04_ENO_top0-10s.wav
VZ_05_ENO.ogg,Tranquilidad,29.4,5,0.571,Tranquilidad,0.571,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VZ_05_ENO_top0-10s.wav
VZ_07_ENO.ogg,Tranquilidad,22.4,4,0.649,Tranquilidad,0.649,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VZ_07_ENO_top0-10s.wav
VZ_09_TRA.ogg,Tranquilidad,33.2,6,0.882,Tranquilidad,0.882,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VZ_09_TRA_top0-10s.wav
VZ_10_ENO.ogg,Tranquilidad,28.7,5,0.663,Tranquilidad,0.663,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VZ_10_ENO_top0-10s.wav
VZ_10_TRA.ogg,Tranquilidad,32.5,6,0.869,Tranquilidad,0.869,0.0,10.0,Tranquilidad,0.0,OK,outputs/mejores_segmentos/Tranquilidad/VZ_10_TRA_top0-10s.wav
VZ_02_TRI.ogg,Tristeza,47.9,9,0.598,Tranquilidad,0.954,35.0,45.0,Tristeza,0.356,RESCATADO,outputs/mejores_segmentos/Tristeza/VZ_02_TRI_top35-45s.wav
VA_04_TRI.ogg,Tristeza,46.7,9,0.6,Tranquilidad,0.927,36.7,46.7,Tristeza,0.326,RESCATADO,outputs/mejores_segmentos/Tristeza/VA_04_TRI_top37-47s.wav
VA_15_TRI.mp4,Tristeza,44.0,8,0.679,Tristeza,0.946,34.0,44.0,Tristeza,0.267,OK,outputs/mejores_segmentos/Tristeza/VA_15_TRI_top34-44s.wav
VA_03_TRI.ogg,Tristeza,46.7,9,0.694,Tristeza,0.945,10.0,20.0,Tristeza,0.251,OK,outputs/mejores_segmentos/Tristeza/VA_03_TRI_top10-20s.wav
VZ_08_TRI.ogg,Tristeza,45.8,9,0.775,Tristeza,0.953,20.0,30.0,Tristeza,0.178,OK,outputs/mejores_segmentos/Tristeza/VZ_08_TRI_top20-30s.wav
VA_10_TRI.ogg,Tristeza,44.8,8,0.549,Tristeza,0.722,34.8,44.8,Tristeza,0.172,OK,outputs/mejores_segmentos/Tristeza/VA_10_TRI_top35-45s.wav
SG_03_ENO.ogg,Tristeza,32.2,6,0.672,Tristeza,0.84,20.0,30.0,Tristeza,0.168,OK,outputs/mejores_segmentos/Tristeza/SG_03_ENO_top20-30s.wav
VA_05_ENO.mp4,Tristeza,44.0,8,0.7,Tristeza,0.826,20.0,30.0,Tristeza,0.126,OK,outputs/mejores_segmentos/Tristeza/VA_05_ENO_top20-30s.wav
VA_05_TRI.mp4,Tristeza,44.0,8,0.7,Tristeza,0.826,20.0,30.0,Tristeza,0.126,OK,outputs/mejores_segmentos/Tristeza/VA_05_TRI_top20-30s.wav
VZ_01_TRI.mp4,Tristeza,47.0,9,0.707,Tristeza,0.824,10.0,20.0,Tristeza,0.117,OK,outputs/mejores_segmentos/Tristeza/VZ_01_TRI_top10-20s.wav
MT_05_TRI.ogg,Tristeza,50.0,10,0.892,Tristeza,0.991,15.0,25.0,Tristeza,0.1,OK,outputs/mejores_segmentos/Tristeza/MT_05_TRI_top15-25s.wav
VZ_04_TRA.ogg,Tristeza,55.8,11,0.826,Tristeza,0.917,45.8,55.8,Tristeza,0.09,OK,outputs/mejores_segmentos/Tristeza/VZ_04_TRA_top46-56s.wav
VA_11_TRI.ogg,Tristeza,45.6,9,0.81,Tristeza,0.9,35.6,45.6,Tristeza,0.089,OK,outputs/mejores_segmentos/Tristeza/VA_11_TRI_top36-46s.wav
MT_09_TRA.ogg,Tristeza,31.0,6,0.899,Tristeza,0.977,10.0,20.0,Tristeza,0.079,OK,outputs/mejores_segmentos/Tristeza/MT_09_TRA_top10-20s.wav
VZ_04_TRI.ogg,Tristeza,63.7,12,0.922,Tristeza,0.999,15.0,25.0,Tristeza,0.077,OK,outputs/mejores_segmentos/Tristeza/VZ_04_TRI_top15-25s.wav
