archivo,clase_etiqueta,recolector,arousal,valence,dominance,score_Enojo,score_Feliz,score_Tranquilidad,score_Tristeza,score_propio,suena_a,score_suena_a,delta
SG_06_TRI_top0-10s.wav,Tristeza,SG,0.299,0.378,0.375,0.006,0.003,0.596,0.688,0.688,Tranquilidad,0.596,-0.093
SG_04_TRI_top0-10s.wav,Tristeza,SG,0.223,0.425,0.331,0.001,0.002,0.578,0.674,0.674,Tranquilidad,0.578,-0.096
VZ_04_FEL_top0-10s.wav,Feliz,VZ,0.585,0.657,0.569,0.07,0.444,0.339,0.011,0.444,Tranquilidad,0.339,-0.105
ED_03_TRI_S_top0-10s.wav,Tristeza,ED,0.366,0.363,0.319,0.008,0.004,0.465,0.601,0.601,Tranquilidad,0.465,-0.136
VA_10_TRI_top35-45s.wav,Tristeza,VA,0.278,0.383,0.36,0.004,0.003,0.583,0.722,0.722,Tranquilidad,0.583,-0.139
VZ_06_ENO_top10-20s.wav,Tranquilidad,VZ,0.567,0.582,0.548,0.095,0.262,0.403,0.029,0.403,Feliz,0.262,-0.141
SG_02_TRA_top0-10s.wav,Tristeza,SG,0.326,0.348,0.385,0.01,0.003,0.538,0.684,0.684,Tranquilidad,0.538,-0.146
MT_01_TRI_top5-15s.wav,Tristeza,MT,0.291,0.362,0.38,0.006,0.002,0.566,0.732,0.732,Tranquilidad,0.566,-0.166
MT_01_FEL_top5-15s.wav,Feliz,MT,0.686,0.591,0.653,0.222,0.403,0.129,0.004,0.403,Enojo,0.222,-0.181
MT_07_TRI_top27-37s.wav,Tristeza,MT,0.253,0.388,0.343,0.002,0.002,0.557,0.749,0.749,Tranquilidad,0.557,-0.192
VA_15ENO_top0-10s.wav,Tristeza,VA,0.373,0.274,0.437,0.029,0.002,0.388,0.586,0.586,Tranquilidad,0.388,-0.198
SG_05_TRA_top0-10s.wav,Tranquilidad,SG,0.282,0.46,0.358,0.003,0.006,0.723,0.517,0.723,Tristeza,0.517,-0.206
VA_09_TRI_top0-10s.wav,Tranquilidad,VA,0.294,0.463,0.345,0.003,0.007,0.709,0.501,0.709,Tristeza,0.501,-0.208
SG_02_TRI_top0-10s.wav,Tristeza,SG,0.316,0.332,0.388,0.009,0.002,0.508,0.729,0.729,Tranquilidad,0.508,-0.221
VA_01_TRA_top0-10s.wav,Tranquilidad,VA,0.547,0.531,0.564,0.122,0.167,0.433,0.047,0.433,Feliz,0.167,-0.267
VZ_06_TRA_top0-10s.wav,Feliz,VZ,0.604,0.689,0.598,0.069,0.553,0.274,0.006,0.553,Tranquilidad,0.274,-0.279
VZ_04_ENO_top0-10s.wav,Tranquilidad,VZ,0.418,0.396,0.484,0.049,0.017,0.602,0.323,0.602,Tristeza,0.323,-0.279
MT_05_ENO_top10-20s.wav,Enojo,MT,0.694,0.464,0.641,0.429,0.147,0.106,0.011,0.429,Feliz,0.147,-0.281
VZ_05_FEL_top20-30s.wav,Feliz,VZ,0.632,0.65,0.634,0.118,0.505,0.214,0.005,0.505,Tranquilidad,0.214,-0.291
VZ_01_ENO_top20-30s.wav,Tranquilidad,VZ,0.33,0.454,0.388,0.007,0.011,0.755,0.451,0.755,Tristeza,0.451,-0.304
MT_10_ENO_top0-10s.wav,Enojo,MT,0.743,0.489,0.72,0.487,0.174,0.053,0.003,0.487,Feliz,0.174,-0.313
SG_07_TRA_top15-25s.wav,Tranquilidad,SG,0.522,0.455,0.546,0.135,0.072,0.448,0.1,0.448,Enojo,0.135,-0.313
SG_03_TRA_top5-15s.wav,Tranquilidad,SG,0.318,0.458,0.391,0.006,0.01,0.771,0.458,0.771,Tristeza,0.458,-0.314
ED_01_FEL_top5-15s.wav,Enojo,ED,0.76,0.489,0.712,0.493,0.178,0.045,0.002,0.493,Feliz,0.178,-0.315
VA_02_TRA_top0-10s.wav,Tranquilidad,VA,0.498,0.425,0.499,0.096,0.044,0.481,0.164,0.481,Tristeza,0.164,-0.316
SG_01_FEL_top0-10s.wav,Enojo,SG,0.637,0.364,0.617,0.464,0.045,0.139,0.035,0.464,Tranquilidad,0.139,-0.325
VZ_10_TRI_top15-25s.wav,Tranquilidad,VZ,0.335,0.461,0.384,0.007,0.012,0.758,0.431,0.758,Tristeza,0.431,-0.327
MT_08_TRA_top26-36s.wav,Tranquilidad,MT,0.212,0.548,0.31,0.0,0.004,0.665,0.33,0.665,Tristeza,0.33,-0.335
VA_05_ENO_top20-30s.wav,Tristeza,VA,0.239,0.366,0.326,0.002,0.001,0.483,0.826,0.826,Tranquilidad,0.483,-0.342
VA_05_TRI_top20-30s.wav,Tristeza,VA,0.239,0.366,0.326,0.002,0.001,0.483,0.826,0.826,Tranquilidad,0.483,-0.342
SG_09_TRA_top0-10s.wav,Tristeza,SG,0.213,0.39,0.272,0.001,0.001,0.422,0.775,0.775,Tranquilidad,0.422,-0.353
VZ_01_TRI_top10-20s.wav,Tristeza,VZ,0.222,0.372,0.318,0.001,0.001,0.469,0.824,0.824,Tranquilidad,0.469,-0.355
ED_02_ENO_S_top5-15s.wav,Enojo,ED,0.746,0.471,0.709,0.525,0.151,0.051,0.003,0.525,Feliz,0.151,-0.374
VA_06_TRI_top22-32s.wav,Tranquilidad,VA,0.387,0.452,0.42,0.018,0.02,0.724,0.346,0.724,Tristeza,0.346,-0.378
VZ_07_FEL_top38-48s.wav,Feliz,VZ,0.778,0.668,0.741,0.172,0.559,0.035,0.0,0.559,Enojo,0.172,-0.387
SG_05_ENO_top0-10s.wav,Tranquilidad,SG,0.502,0.465,0.532,0.104,0.07,0.514,0.117,0.514,Tristeza,0.117,-0.397
MT_11.mp3_ENO_top0-10s.wav,Tranquilidad,MT,0.513,0.494,0.541,0.104,0.099,0.51,0.088,0.51,Enojo,0.104,-0.406
ED_05_TRA_top10-20s.wav,Tranquilidad,ED,0.517,0.491,0.514,0.093,0.095,0.504,0.096,0.504,Tristeza,0.096,-0.409
MT_09_ENO_top23-33s.wav,Tranquilidad,MT,0.323,0.471,0.412,0.008,0.013,0.817,0.408,0.817,Tristeza,0.408,-0.409
VA_15_FE_top15-25s.wav,Tranquilidad,VA,0.335,0.486,0.378,0.006,0.015,0.788,0.378,0.788,Tristeza,0.378,-0.409
VA_07_ENO_top16-26s.wav,Tranquilidad,VA,0.51,0.529,0.529,0.08,0.129,0.549,0.074,0.549,Feliz,0.129,-0.419
ED_03_FEL_top10-20s.wav,Feliz,ED,0.609,0.739,0.586,0.045,0.668,0.244,0.003,0.668,Tranquilidad,0.244,-0.424
VA_10_ENO_top22-32s.wav,Tranquilidad,VA,0.506,0.518,0.553,0.093,0.118,0.546,0.076,0.546,Feliz,0.118,-0.428
VZ_03_FEL_top0-10s.wav,Enojo,VZ,0.625,0.278,0.627,0.537,0.014,0.103,0.044,0.537,Tranquilidad,0.103,-0.435
VZ_08_TRA_top21-31s.wav,Tranquilidad,VZ,0.501,0.556,0.541,0.069,0.152,0.587,0.063,0.587,Feliz,0.152,-0.435
VA_06_ENO_top15-25s.wav,Tranquilidad,VA,0.509,0.506,0.506,0.078,0.102,0.541,0.095,0.541,Feliz,0.102,-0.438
VA_02_ENO_top15-25s.wav,Tranquilidad,VA,0.507,0.508,0.489,0.068,0.1,0.547,0.101,0.547,Tristeza,0.101,-0.446
VA_01_TRI_top0-10s.wav,Tranquilidad,VA,0.496,0.497,0.509,0.075,0.088,0.568,0.11,0.568,Tristeza,0.11,-0.458
MT_03_TRA_top0-10s.wav,Tranquilidad,MT,0.42,0.468,0.45,0.03,0.034,0.712,0.253,0.712,Tristeza,0.253,-0.46
VZ_05_ENO_top0-10s.wav,Tranquilidad,VZ,0.5,0.518,0.529,0.079,0.111,0.571,0.087,0.571,Feliz,0.111,-0.46
SG_08_TRA_top15-25s.wav,Tranquilidad,SG,0.496,0.561,0.517,0.056,0.149,0.61,0.068,0.61,Feliz,0.149,-0.461
MT_03_ENO_top0-10s.wav,Enojo,MT,0.743,0.442,0.695,0.578,0.116,0.052,0.005,0.578,Feliz,0.116,-0.462
VA_08_TRI_top10-20s.wav,Tranquilidad,VA,0.319,0.493,0.401,0.006,0.014,0.84,0.37,0.84,Tristeza,0.37,-0.47
SG_06_TRA_top15-25s.wav,Tranquilidad,SG,0.432,0.468,0.472,0.04,0.04,0.694,0.222,0.694,Tristeza,0.222,-0.472
VA_02_TRI_top25-35s.wav,Tranquilidad,VA,0.371,0.474,0.43,0.015,0.023,0.796,0.324,0.796,Tristeza,0.324,-0.472
VZ_10_ENO_top0-10s.wav,Tranquilidad,VZ,0.45,0.476,0.472,0.045,0.05,0.663,0.19,0.663,Tristeza,0.19,-0.472
VA_11_TRI_top36-46s.wav,Tristeza,VA,0.243,0.326,0.337,0.002,0.001,0.425,0.9,0.9,Tranquilidad,0.425,-0.474
SG_01_TRI_top15-25s.wav,Tranquilidad,SG,0.435,0.477,0.458,0.035,0.043,0.697,0.216,0.697,Tristeza,0.216,-0.481
ED_02_FEL_top0-10s.wav,Feliz,ED,0.663,0.691,0.632,0.097,0.657,0.158,0.003,0.657,Tranquilidad,0.158,-0.499
VA_08_ENO_top21-31s.wav,Tranquilidad,VA,0.486,0.534,0.531,0.065,0.116,0.622,0.086,0.622,Feliz,0.116,-0.506
VZ_07_ENO_top0-10s.wav,Tranquilidad,VZ,0.467,0.498,0.498,0.056,0.071,0.649,0.139,0.649,Tristeza,0.139,-0.51
MT_02_FEL_top0-10s.wav,Tranquilidad,MT,0.484,0.557,0.515,0.052,0.133,0.644,0.078,0.644,Feliz,0.133,-0.511
VA_01_ENO_top5-15s.wav,Enojo,VA,0.713,0.407,0.674,0.599,0.081,0.069,0.009,0.599,Feliz,0.081,-0.518
ED_02_TRI_S_top28-38s.wav,Tranquilidad,ED,0.38,0.485,0.439,0.017,0.028,0.807,0.287,0.807,Tristeza,0.287,-0.52
SG_03_TRI_top0-10s.wav,Tristeza,SG,0.126,0.362,0.244,0.0,0.0,0.257,0.777,0.777,Tranquilidad,0.257,-0.52
VA_04_ENO_top30-40s.wav,Tranquilidad,VA,0.479,0.552,0.531,0.056,0.127,0.652,0.079,0.652,Feliz,0.127,-0.525
SG_04_TRA_top0-10s.wav,Feliz,SG,0.693,0.675,0.632,0.12,0.649,0.121,0.002,0.649,Tranquilidad,0.121,-0.529
VA_04_TRI_top37-47s.wav,Tristeza,VA,0.239,0.311,0.337,0.002,0.001,0.396,0.927,0.927,Tranquilidad,0.396,-0.531
MT_10_TRA_top0-10s.wav,Tranquilidad,MT,0.452,0.496,0.496,0.049,0.063,0.688,0.156,0.688,Tristeza,0.156,-0.532
ED_05_TRI_top0-10s.wav,Tranquilidad,ED,0.468,0.601,0.502,0.032,0.158,0.702,0.063,0.702,Feliz,0.158,-0.544
VZ_03_ENO_top15-25s.wav,Tranquilidad,VZ,0.465,0.614,0.494,0.028,0.165,0.71,0.059,0.71,Feliz,0.165,-0.545
MT_01_ENO_top22-32s.wav,Tranquilidad,MT,0.475,0.54,0.523,0.056,0.111,0.66,0.091,0.66,Feliz,0.111,-0.549
VA_07_TRA_top25-35s.wav,Tranquilidad,VA,0.371,0.509,0.41,0.011,0.029,0.824,0.272,0.824,Tristeza,0.272,-0.553
ED_01_TRA_top0-10s.wav,Tranquilidad,ED,0.415,0.495,0.466,0.028,0.044,0.769,0.214,0.769,Tristeza,0.214,-0.555
MT_04_TRA_top0-10s.wav,Tranquilidad,MT,0.43,0.5,0.471,0.033,0.053,0.742,0.187,0.742,Tristeza,0.187,-0.555
VA_06_TRA_top15-25s.wav,Tranquilidad,VA,0.47,0.541,0.459,0.035,0.097,0.669,0.114,0.669,Tristeza,0.114,-0.555
SG_04_ENO_top0-10s.wav,Tranquilidad,SG,0.466,0.598,0.479,0.028,0.147,0.706,0.07,0.706,Feliz,0.147,-0.559
VZ_05_TRA_top20-30s.wav,Tranquilidad,VZ,0.365,0.512,0.408,0.01,0.028,0.833,0.274,0.833,Tristeza,0.274,-0.559
MT_03_TRI_top30-40s.wav,Tristeza,MT,0.207,0.331,0.289,0.001,0.0,0.352,0.919,0.919,Tranquilidad,0.352,-0.567
VZ_03_TRA_top20-30s.wav,Tranquilidad,VZ,0.466,0.579,0.493,0.034,0.133,0.707,0.079,0.707,Feliz,0.133,-0.574
VA_15_TRI_top34-44s.wav,Tristeza,VA,0.21,0.311,0.328,0.001,0.0,0.366,0.948,0.948,Tranquilidad,0.366,-0.582
VA_03_TRI_top10-20s.wav,Tristeza,VA,0.225,0.312,0.312,0.001,0.0,0.362,0.945,0.945,Tranquilidad,0.362,-0.583
MT_02_TRA_top0-10s.wav,Tranquilidad,MT,0.428,0.513,0.471,0.031,0.058,0.76,0.174,0.76,Tristeza,0.174,-0.586
MT_03_FEL_top15-25s.wav,Feliz,MT,0.708,0.699,0.677,0.114,0.703,0.09,0.001,0.703,Enojo,0.114,-0.588
VA_10_TRA_top26-36s.wav,Tranquilidad,VA,0.45,0.525,0.497,0.042,0.08,0.721,0.13,0.721,Tristeza,0.13,-0.591
MT_11.mp3_TRI_top5-15s.wav,Tranquilidad,MT,0.36,0.518,0.419,0.01,0.029,0.86,0.265,0.86,Tristeza,0.265,-0.594
VZ_08_TRI_top20-30s.wav,Tristeza,VZ,0.228,0.303,0.322,0.002,0.0,0.359,0.953,0.953,Tranquilidad,0.359,-0.594
VA_08_TRA_top25-35s.wav,Tranquilidad,VA,0.322,0.529,0.406,0.006,0.021,0.889,0.286,0.889,Tristeza,0.286,-0.603
VA_03_ENO_top30-40s.wav,Tranquilidad,VA,0.365,0.512,0.436,0.013,0.031,0.863,0.259,0.863,Tristeza,0.259,-0.604
VA_12_FE_top0-10s.wav,Tranquilidad,VA,0.396,0.514,0.446,0.019,0.042,0.821,0.218,0.821,Tristeza,0.218,-0.604
MT_04_ENO_top18-28s.wav,Tranquilidad,MT,0.433,0.522,0.491,0.035,0.067,0.763,0.15,0.763,Tristeza,0.15,-0.613
VZ_03_TRI_top26-36s.wav,Tranquilidad,VZ,0.454,0.575,0.508,0.035,0.122,0.738,0.084,0.738,Feliz,0.122,-0.616
VZ_02_TRI_top35-45s.wav,Tristeza,VZ,0.25,0.277,0.328,0.002,0.0,0.333,0.954,0.954,Tranquilidad,0.333,-0.621
VZ_10_TRA_top0-10s.wav,Tranquilidad,VZ,0.363,0.528,0.422,0.01,0.032,0.869,0.243,0.869,Tristeza,0.243,-0.626
SG_05_TRI_top17-27s.wav,Tranquilidad,SG,0.421,0.557,0.424,0.016,0.069,0.783,0.148,0.783,Tristeza,0.148,-0.635
VA_07_TRI_top0-10s.wav,Tranquilidad,VA,0.448,0.585,0.474,0.025,0.117,0.755,0.089,0.755,Feliz,0.117,-0.638
MT_02_ENO_top5-15s.wav,Enojo,MT,0.707,0.364,0.699,0.7,0.047,0.059,0.01,0.7,Tranquilidad,0.059,-0.641
VZ_01_TRA_top25-35s.wav,Tranquilidad,VZ,0.34,0.543,0.406,0.006,0.028,0.889,0.245,0.889,Tristeza,0.245,-0.644
ED_02_TRA_S_top25-35s.wav,Tranquilidad,ED,0.404,0.521,0.481,0.025,0.052,0.829,0.183,0.829,Tristeza,0.183,-0.646
VA_14_TRI_top30-40s.wav,Tranquilidad,VA,0.404,0.544,0.434,0.016,0.056,0.822,0.175,0.822,Tristeza,0.175,-0.647
ED_05_ENO_S_top0-10s.wav,Enojo,ED,0.782,0.398,0.716,0.718,0.069,0.027,0.003,0.718,Feliz,0.069,-0.649
VZ_07_TRA_top10-20s.wav,Tranquilidad,VZ,0.367,0.546,0.41,0.009,0.038,0.865,0.214,0.865,Tristeza,0.214,-0.651
VZ_09_TRA_top0-10s.wav,Tranquilidad,VZ,0.358,0.541,0.417,0.009,0.034,0.882,0.228,0.882,Tristeza,0.228,-0.654
VZ_04_TRA_top46-56s.wav,Tristeza,VZ,0.16,0.316,0.26,0.0,0.0,0.26,0.917,0.917,Tranquilidad,0.26,-0.657
VZ_01_FEL_top17-27s.wav,Tranquilidad,VZ,0.441,0.595,0.491,0.025,0.122,0.78,0.082,0.78,Feliz,0.122,-0.659
VA_09_TRA_top21-31s.wav,Tranquilidad,VA,0.377,0.544,0.424,0.011,0.042,0.865,0.203,0.865,Tristeza,0.203,-0.662
VA_13_FE_top20-30s.wav,Tranquilidad,VA,0.444,0.565,0.498,0.032,0.103,0.765,0.1,0.765,Feliz,0.103,-0.662
VZ_09_TRI_top26-36s.wav,Tranquilidad,VZ,0.347,0.545,0.413,0.007,0.031,0.894,0.233,0.894,Tristeza,0.233,-0.662
VA_11_ENO_top28-38s.wav,Tranquilidad,VA,0.442,0.562,0.496,0.032,0.1,0.768,0.105,0.768,Tristeza,0.105,-0.663
VA_13_TRI_top10-20s.wav,Tranquilidad,VA,0.347,0.535,0.43,0.009,0.03,0.905,0.24,0.905,Tristeza,0.24,-0.664
MT_08_TRI_top15-25s.wav,Tranquilidad,MT,0.424,0.548,0.474,0.025,0.075,0.804,0.138,0.804,Tristeza,0.138,-0.666
MT_05_TRA_top20-30s.wav,Tranquilidad,MT,0.399,0.557,0.425,0.013,0.057,0.833,0.166,0.833,Tristeza,0.166,-0.667
MT_08_ENO_top22-32s.wav,Tranquilidad,MT,0.324,0.562,0.397,0.004,0.027,0.902,0.227,0.902,Tristeza,0.227,-0.675
SG_03_ENO_top20-30s.wav,Tristeza,SG,0.108,0.295,0.225,0.0,0.0,0.164,0.84,0.84,Tranquilidad,0.164,-0.676
VA_04_TRA_top28-38s.wav,Tranquilidad,VA,0.341,0.545,0.423,0.007,0.03,0.912,0.232,0.912,Tristeza,0.232,-0.68
ED_04_TRI_top0-10s.wav,Tranquilidad,ED,0.396,0.549,0.448,0.016,0.056,0.853,0.17,0.853,Tristeza,0.17,-0.683
VA_12_ENO_top0-10s.wav,Tranquilidad,VA,0.431,0.571,0.474,0.023,0.094,0.796,0.111,0.796,Tristeza,0.111,-0.686
VZ_06_FEL_top0-10s.wav,Feliz,VZ,0.671,0.754,0.636,0.059,0.817,0.127,0.001,0.817,Tranquilidad,0.127,-0.689
ED_03_TRA_top0-10s.wav,Tranquilidad,ED,0.428,0.571,0.472,0.022,0.09,0.805,0.114,0.805,Tristeza,0.114,-0.69
MT_06_TRA_top23-33s.wav,Tranquilidad,MT,0.433,0.587,0.49,0.024,0.109,0.799,0.092,0.799,Feliz,0.109,-0.69
VZ_09_ENO_top21-31s.wav,Tranquilidad,VZ,0.43,0.607,0.481,0.019,0.118,0.808,0.081,0.808,Feliz,0.118,-0.69
MT_06_ENO_top21-31s.wav,Tranquilidad,MT,0.43,0.566,0.498,0.028,0.093,0.802,0.109,0.802,Tristeza,0.109,-0.694
MT_09_TRA_top10-20s.wav,Tristeza,MT,0.201,0.291,0.283,0.001,0.0,0.282,0.977,0.977,Tranquilidad,0.282,-0.696
VA_03_TRA_top5-15s.wav,Tranquilidad,VA,0.372,0.547,0.442,0.012,0.044,0.892,0.195,0.892,Tristeza,0.195,-0.697
VA_11_TRA_top25-35s.wav,Tranquilidad,VA,0.422,0.567,0.474,0.022,0.084,0.818,0.121,0.818,Tristeza,0.121,-0.697
VZ_06_TRI_top19-29s.wav,Tranquilidad,VZ,0.401,0.569,0.438,0.014,0.065,0.848,0.146,0.848,Tristeza,0.146,-0.701
VZ_05_TRI_top25-35s.wav,Tranquilidad,VZ,0.392,0.572,0.431,0.012,0.061,0.861,0.151,0.861,Tristeza,0.151,-0.71
MT_11.mp3_TRA_top0-10s.wav,Tranquilidad,MT,0.384,0.571,0.428,0.01,0.056,0.872,0.158,0.872,Tristeza,0.158,-0.714
VZ_02_TRA_top15-25s.wav,Tristeza,VZ,0.209,0.282,0.275,0.001,0.0,0.267,0.982,0.982,Tranquilidad,0.267,-0.714
SG_01_TRA_top5-15s.wav,Tranquilidad,SG,0.375,0.598,0.397,0.006,0.056,0.856,0.139,0.856,Tristeza,0.139,-0.717
MT_06_TRI_top25-35s.wav,Tranquilidad,MT,0.389,0.561,0.462,0.015,0.059,0.885,0.154,0.885,Tristeza,0.154,-0.73
MT_02_TRI_top26-36s.wav,Tranquilidad,MT,0.419,0.588,0.482,0.02,0.097,0.835,0.101,0.835,Tristeza,0.101,-0.734
SG_02_ENO_top15-25s.wav,Tranquilidad,SG,0.361,0.579,0.421,0.007,0.046,0.905,0.167,0.905,Tristeza,0.167,-0.738
VZ_04_TRI_top15-25s.wav,Tristeza,VZ,0.206,0.253,0.307,0.001,0.0,0.254,0.999,0.999,Tranquilidad,0.254,-0.745
MT_05_TRI_top15-25s.wav,Tristeza,MT,0.2,0.259,0.269,0.001,0.0,0.227,0.991,0.991,Tranquilidad,0.227,-0.765
ED_03_ENO_S_top5-15s.wav,Enojo,ED,0.821,0.357,0.735,0.815,0.039,0.013,0.002,0.815,Feliz,0.039,-0.777
ED_04_ENO_S_top20-30s.wav,Enojo,ED,0.853,0.32,0.816,0.815,0.018,0.005,0.001,0.815,Feliz,0.018,-0.797
VZ_02_ENO_top10-20s.wav,Enojo,VZ,0.825,0.278,0.773,0.939,0.012,0.008,0.001,0.939,Feliz,0.012,-0.927
